0,1,2,3,4,5,6,7,8,9,temperature,category
100.0,107.0,83.0,72.0,89.0,74.0,74.0,91.0,77.0,49.76946855251722,23.8,2
100.0,107.0,82.0,72.0,89.0,74.0,75.0,91.0,77.0,49.76946855251722,23.9,2
100.0,107.0,82.0,72.0,89.0,74.0,75.0,91.0,77.0,49.76946855251722,24.0,2
100.0,107.0,82.0,72.0,89.0,74.0,75.0,91.0,77.0,49.76946855251722,24.1,2
100.0,107.0,82.0,72.0,89.0,74.0,75.0,91.0,77.0,49.76946855251722,24.2,2
100.0,108.0,82.0,72.0,89.0,73.0,75.0,91.0,77.0,49.76946855251722,24.3,2
100.0,108.0,82.0,72.0,89.0,73.0,75.0,91.0,77.0,49.76946855251722,24.4,2
100.0,108.0,82.0,72.0,89.0,73.0,75.0,91.0,77.0,49.76946855251722,24.5,2
100.0,108.0,82.0,72.0,89.0,73.0,75.0,91.0,77.0,49.76946855251722,24.6,2
100.0,108.0,82.0,72.0,89.0,73.0,75.0,91.0,77.0,48.84669896727925,24.7,2
100.0,108.0,82.0,72.0,89.0,73.0,75.0,91.0,77.0,48.84669896727925,24.8,2
100.0,108.0,82.0,72.0,89.0,73.0,76.0,91.0,77.0,48.84669896727925,24.9,2
100.0,108.0,82.0,72.0,89.0,73.0,76.0,91.0,77.0,48.84669896727925,25.0,2
100.0,108.0,82.0,72.0,89.0,73.0,76.0,91.0,76.0,48.84669896727925,25.1,2
100.0,108.0,82.0,72.0,89.0,73.0,76.0,91.0,76.0,48.84669896727925,25.2,2
100.0,108.0,82.0,73.0,89.0,73.0,76.0,91.0,76.0,48.84669896727925,25.3,2
100.0,108.0,82.0,73.0,89.0,73.0,76.0,91.0,76.0,48.84669896727925,25.4,2
100.0,108.0,82.0,73.0,89.0,72.0,76.0,91.0,76.0,48.84669896727925,25.5,2
100.0,108.0,82.0,72.0,89.0,72.0,76.0,91.0,76.0,48.84669896727925,25.6,2
100.0,108.0,82.0,73.0,89.0,72.0,76.0,91.0,76.0,48.84669896727925,25.7,2
100.0,108.0,82.0,73.0,88.0,72.0,76.0,91.0,76.0,48.84669896727925,25.8,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,25.9,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,26.0,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,26.1,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,26.2,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,26.3,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,26.4,2
100.0,108.0,82.0,73.0,88.0,72.0,77.0,91.0,76.0,48.84669896727925,26.5,2
100.0,108.0,82.0,73.0,88.0,71.0,77.0,91.0,76.0,48.84669896727925,26.6,2
100.0,108.0,82.0,73.0,88.0,71.0,77.0,91.0,76.0,48.84669896727925,26.7,2
100.0,108.0,82.0,73.0,88.0,71.0,77.0,91.0,76.0,48.84669896727925,26.8,2
100.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,48.84669896727925,26.9,2
100.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,49.76946855251722,27.0,2
101.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,49.76946855251722,27.1,2
101.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,49.76946855251722,27.2,2
101.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,49.76946855251722,27.3,2
101.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,49.76946855251722,27.4,2
101.0,108.0,82.0,73.0,88.0,71.0,78.0,91.0,75.0,49.76946855251722,27.5,2
